,FullAddress,long,lat
375,Palisadenstr. 030 10243 Berlin,13.4307955,52.520641
376,Palisadenstr. 033 10243 Berlin,13.4333253,52.5198591
377,Rudolfstr. 014B 10245 Berlin,13.454515,52.5036287
378,Palmkernzeile 008 10245 Berlin,13.474073,52.4954476
379,Richard-Sorge-Str. 044 10249 Berlin,13.4451966,52.5243131
380,Rigaer Str. 053-54 10247 Berlin,13.4719023,52.5151708
381,Straßmannstr. 036 10249 Berlin,13.4527824,52.5226349
382,Kreutzigerstr. 024 10247 Berlin,13.4605102,52.5139042
383,Scharnweberstr. 060 10247 Berlin,13.4746971,52.5119371
384,Simplonstr. 018 10245 Berlin,13.4589694,52.50819749999999
385,Gubener Str. 051 10243 Berlin,13.4478637,52.51283489999999
386,Strausberger Str. 049 10243 Berlin,13.432788,52.5222804
387,Fredersdorfer Str. 006 10243 Berlin,13.4418627,52.5140621
388,Weidenweg 068 10247 Berlin,13.4563562,52.5191556
389,Weidenweg 078 10247 Berlin,13.4573732,52.519232
390,Friedenstr. 001 10249 Berlin,13.4251041,52.5278856
391,Diestelmeyerstr. 007 10249 Berlin,13.440125,52.5216778
392,Rigaer Str. 009 10247 Berlin,13.4561356,52.5179772
393,Samariterstr. 027 10247 Berlin,13.4661931,52.5186273
394,Niemannstr. 001 10245 Berlin,13.4600277,52.5064754
395,Jungstr. 015-017 10247 Berlin,13.4660491,52.5116587
396,Koppenstr. 015 10243 Berlin,13.4348153,52.5138884
397,Scharnweberstr. 033 10247 Berlin,13.4626335,52.5131592
398,Höchste Str. 011 10249 Berlin,13.4276726,52.5250798
399,Müggelstr. 019B 10247 Berlin,13.4688448,52.50985799999999
400,Scharnweberstr. 061 10247 Berlin,13.4748129,52.5119242
401,Simon-Dach-Str. 025 10245 Berlin,13.4556911,52.5080494
402,Ebertystr. 007 10249 Berlin,13.4516477,52.5259718
403,Am Rudolfplatz 005 10245 Berlin,13.4554963,52.5027009
404,Gryphiusstr. 025 10245 Berlin,13.4635916,52.5086539
405,Mühsamstr. 073 10249 Berlin,13.4543378,52.5211096
406,Karl-Marx-Allee 124 10243 Berlin,13.4484408,52.5161367
407,Gubener Str. 058 10243 Berlin,13.4462767,52.51488370000001
408,Strausberger Str. 038 10243 Berlin,13.431667,52.52119769999999
409,Seumestr. 031 10245 Berlin,13.460688,52.5076526
410,Warschauer Str. 079 10243 Berlin,13.4532169,52.51344479999999
411,Eckertstr. 017 10249 Berlin,13.4504314,52.51887079999999
412,Gryphiusstr. 021 10245 Berlin,13.4640399,52.5093414
